"ライン","No","機械区分","項目","改定日","blockId"
"C-8","1","絞り","マガジン","2026-04-15","main"
"C-8","2","絞り","金型","2026-04-15","main"
"C-8","3","絞り","出口シュート","2026-04-15","main"
"C-8","4","絞り","立上コンベア付近","2026-04-15","main"
"C-8","5","爪曲げ","入り口シュート","2026-04-15","main"
"C-8","6","爪曲げ","裏向き排出のカゴ","2026-04-15","main"
"C-8","7","爪曲げ","金型","2026-04-15","main"
"C-8","8","爪曲げ","出口シュート","2026-04-15","main"
"C-8","9","爪曲げ","立上コンベア付近","2026-04-15","main"
"C-8","10","ＰＥオート","入り口シュート","2026-04-15","main"
"C-8","11","ＰＥオート","ＰＥホッパー","2026-04-15","main"
"C-8","12","ＰＥオート","ＰＥパーツフィーダ","2026-04-15","main"
"C-8","13","ＰＥオート","マガジン","2026-04-15","main"
"C-8","14","ＰＥオート","機械内","2026-04-15","main"
"C-8","15","ＰＥオート","不良排出シュート・カゴ","2026-04-15","main"
"C-8","16","ＰＥオート","出口シュート","2026-04-15","main"
"C-8","17","セット機","立ち上げコンベア","2026-04-15","main"
"C-8","18","セット機","キャップ入り口コンベア","2026-04-15","main"
"C-8","19","セット機","機械内","2026-04-15","main"
"C-8","1","絞り","マガジン","2026-04-15","secondary"
"C-8","2","絞り","金型","2026-04-15","secondary"
"C-8","3","絞り","出口シュート","2026-04-15","secondary"
"C-8","4","絞り","立上コンベア付近","2026-04-15","secondary"
"C-8","5","爪曲げ","入り口シュート","2026-04-15","secondary"
"C-8","6","爪曲げ","裏向き排出のカゴ","2026-04-15","secondary"
"C-8","7","爪曲げ","金型","2026-04-15","secondary"
"C-8","8","爪曲げ","出口シュート","2026-04-15","secondary"
"C-8","9","爪曲げ","立上コンベア付近","2026-04-15","secondary"
"C-8","10","ＰＥオート","入り口シュート","2026-04-15","secondary"
"C-8","11","ＰＥオート","ＰＥホッパー","2026-04-15","secondary"
"C-8","12","ＰＥオート","ＰＥパーツフィーダ","2026-04-15","secondary"
"C-8","13","ＰＥオート","マガジン","2026-04-15","secondary"
"C-8","14","ＰＥオート","機械内","2026-04-15","secondary"
"C-8","15","ＰＥオート","不良排出シュート・カゴ","2026-04-15","secondary"
"C-8","16","ＰＥオート","出口シュート","2026-04-15","secondary"
"C-8","17","セット機","立ち上げコンベア","2026-04-15","secondary"
"C-8","18","セット機","キャップ入り口コンベア","2026-04-15","secondary"
"C-8","19","セット機","機械内","2026-04-15","secondary"
